N,P,K,temperature,humidity,ph,month,season,soil_type,region,label
60.58,21.8,67.8,16.39,60.98,8.0,2,winter,loamy_clay,south_delta,garlic
33.02,26.76,51.98,18.22,58.63,8.27,4,winter,clayey_delta,north_delta,faba_bean
52.47,22.6,100.55,27.86,62.37,8.25,9,summer,clayey_delta,south_delta,cucumber
51.9,13.47,63.69,18.48,61.6,8.09,11,winter,alluvial,north_delta,garlic
22.51,16.05,47.92,25.63,56.61,7.65,7,permanent,reclaimed,sinai_north,olive
36.87,21.75,72.97,25.36,51.14,8.0,11,permanent,loamy_clay,west_delta,pomegranate
67.82,17.9,103.81,22.08,65.21,8.19,3,summer,clayey_delta,east_delta,cucumber
40.28,22.06,75.37,26.34,47.31,8.04,4,permanent,calcareous,new_lands,pomegranate
24.63,19.72,18.73,15.24,51.33,7.97,1,winter,loamy_clay,middle_egypt,lentil
35.24,8.19,55.39,31.17,30.44,7.9,12,permanent,sandy,upper_egypt,date_palm
72.2,22.33,11.09,16.65,56.19,7.82,1,winter,loamy_clay,middle_egypt,wheat
70.61,22.54,65.5,28.08,53.54,8.03,4,summer,loamy_clay,south_delta,cotton
58.93,20.55,20.5,18.39,61.23,7.91,3,winter,loamy_clay,south_delta,wheat
42.12,16.99,74.17,31.73,50.99,7.67,8,summer,sandy,east_delta,watermelon
117.31,36.03,162.07,28.05,62.57,7.93,9,permanent,loamy_clay,middle_egypt,banana
45.79,22.56,75.44,19.16,55.43,8.02,11,winter,loamy_clay,south_delta,garlic
41.75,14.95,86.67,31.43,44.93,7.59,8,summer,reclaimed,sinai_north,watermelon
73.73,40.28,82.61,20.1,64.16,7.96,10,winter,alluvial,east_delta,tomato_winter
60.19,22.44,61.65,19.25,51.05,7.84,12,winter,loamy_clay,south_delta,onion
114.11,31.99,151.19,28.77,71.38,8.0,8,permanent,clayey_delta,south_delta,banana
34.14,19.85,25.67,21.12,52.26,7.78,10,winter,loamy_clay,west_delta,coriander
73.99,22.12,84.1,23.98,52.04,7.92,11,permanent,alluvial,middle_egypt,citrus
88.08,27.84,49.96,27.98,67.37,8.0,9,summer,clayey_delta,south_delta,rice
73.69,23.52,82.07,26.51,58.23,8.09,4,summer,loamy_clay,south_delta,cotton
82.03,19.78,76.53,22.12,58.32,7.84,12,permanent,loamy_clay,middle_egypt,citrus
43.87,22.04,78.19,22.62,48.31,7.82,2,permanent,reclaimed,west_delta,pomegranate
59.93,18.02,48.82,20.96,52.51,7.96,10,winter,alluvial,south_delta,onion
52.58,19.45,43.22,24.42,57.24,7.81,4,summer,alluvial,middle_egypt,basil
46.59,23.25,57.81,19.7,57.79,8.17,10,winter,alluvial,south_delta,garlic
60.14,17.68,87.88,25.46,64.22,7.95,4,summer,alluvial,east_delta,cucumber
42.06,20.52,32.45,16.46,50.0,7.5,3,winter,sandy,sinai_north,barley
99.17,25.2,61.95,28.09,65.0,7.87,6,summer,clayey_delta,south_delta,rice
48.57,27.24,55.37,17.1,58.5,8.0,3,winter,alluvial,middle_egypt,cabbage
17.64,20.57,24.47,17.48,54.11,7.94,1,winter,calcareous,sinai_north,lentil
37.98,15.18,60.16,29.11,34.47,7.9,11,permanent,sandy,upper_egypt,date_palm
78.9,34.83,94.05,20.71,58.24,7.87,11,winter,loamy_clay,west_delta,tomato_winter
38.13,19.05,72.96,29.53,48.0,7.62,8,summer,sandy,east_delta,watermelon
66.88,30.67,65.37,29.0,55.97,7.55,9,summer,alluvial,upper_egypt,pepper
67.5,23.2,72.33,31.21,57.19,8.05,8,summer,clayey_delta,south_delta,cotton
50.42,23.87,47.85,22.33,50.92,7.96,4,winter,loamy_clay,middle_egypt,onion
17.0,26.58,22.86,18.74,50.37,7.92,3,winter,loamy_clay,west_delta,lentil
102.91,35.2,111.58,29.24,53.76,7.82,8,summer,alluvial,middle_egypt,tomato_summer
16.66,16.92,18.54,16.29,65.93,7.83,4,winter,alluvial,north_delta,berseem
69.93,19.91,43.74,17.72,42.65,7.85,2,winter,loamy_clay,upper_egypt,onion
31.88,15.95,50.23,23.3,59.47,7.9,3,permanent,sandy,north_coast,olive
33.9,17.42,31.99,16.85,61.21,7.7,1,winter,alluvial,north_delta,coriander
24.11,28.17,32.66,16.33,53.92,7.86,1,winter,loamy_clay,south_delta,faba_bean
69.67,27.81,89.67,30.41,55.04,7.83,6,summer,loamy_clay,south_delta,eggplant
81.52,22.03,102.9,25.59,64.75,7.8,6,permanent,alluvial,east_delta,citrus
72.44,24.5,65.25,23.85,43.77,8.02,4,winter,loamy_clay,upper_egypt,onion
68.88,27.77,92.03,26.28,37.92,7.6,5,permanent,sandy,new_lands,grapes
35.56,23.33,22.2,24.63,39.99,8.01,10,winter,calcareous,new_lands,cumin
56.85,28.08,89.77,22.63,45.43,7.75,3,permanent,loamy_clay,upper_egypt,grapes
84.04,35.8,83.89,19.11,63.39,8.16,2,winter,clayey_delta,north_delta,tomato_winter
68.62,24.02,6.74,19.37,48.49,7.89,12,winter,alluvial,upper_egypt,wheat
59.27,33.23,83.02,28.53,52.79,7.93,7,permanent,reclaimed,middle_egypt,grapes
57.37,19.97,80.21,14.68,57.64,7.87,2,winter,loamy_clay,middle_egypt,cabbage
72.55,24.29,19.99,13.68,51.12,7.88,3,winter,alluvial,middle_egypt,wheat
9.25,24.19,36.99,17.55,55.35,7.79,3,winter,loamy_clay,middle_egypt,faba_bean
21.55,19.37,13.63,13.77,66.01,8.14,2,winter,clayey_delta,north_delta,berseem
83.39,20.0,79.64,30.94,49.42,7.83,7,summer,sandy,upper_egypt,eggplant
62.12,29.11,63.38,28.11,64.1,7.56,7,summer,alluvial,north_delta,pepper
21.05,20.32,28.53,19.35,50.79,8.01,3,winter,calcareous,sinai_north,lentil
33.98,23.6,30.08,21.5,46.19,7.77,10,winter,alluvial,middle_egypt,cumin
69.1,28.54,63.38,28.12,52.91,8.1,5,summer,loamy_clay,south_delta,cotton
59.06,21.04,76.16,15.17,59.11,8.08,12,winter,alluvial,middle_egypt,garlic
63.3,20.34,93.55,26.7,68.89,7.81,6,summer,alluvial,north_delta,cucumber
97.64,39.14,104.91,26.69,59.04,7.91,4,summer,alluvial,east_delta,tomato_summer
96.94,32.33,82.68,25.92,76.02,7.78,5,permanent,alluvial,north_delta,mint
47.03,18.42,65.67,28.35,50.89,7.81,10,permanent,loamy_clay,west_delta,pomegranate
65.82,39.22,86.73,20.21,59.81,7.89,1,winter,alluvial,middle_egypt,tomato_winter
101.91,36.83,154.69,27.38,60.21,7.83,4,permanent,loamy_clay,upper_egypt,banana
90.52,19.12,92.55,19.62,54.72,7.69,2,permanent,reclaimed,west_delta,citrus
82.85,34.54,112.36,27.27,58.78,7.85,7,summer,loamy_clay,west_delta,tomato_summer
104.0,18.53,56.36,27.55,72.18,7.98,6,summer,clayey_delta,north_delta,rice
48.76,38.66,43.27,17.3,61.49,8.21,3,winter,clayey_delta,north_delta,sugar_beet
84.92,27.85,52.98,29.63,66.19,7.89,8,summer,clayey_delta,north_delta,rice
63.18,23.7,63.1,25.65,58.69,7.63,4,summer,sandy,east_delta,pepper
58.38,22.34,75.51,17.59,61.69,8.07,1,winter,alluvial,north_delta,garlic
54.12,28.61,39.3,16.24,61.1,8.03,4,winter,clayey_delta,north_delta,sugar_beet
65.38,29.09,17.09,17.46,55.53,7.81,3,winter,alluvial,middle_egypt,wheat
68.03,24.87,52.3,25.28,61.99,7.6,9,summer,alluvial,south_delta,pepper
76.04,46.52,120.28,17.5,64.56,7.64,12,winter,loamy_clay,west_delta,potato
31.79,22.25,35.34,18.26,38.66,7.93,2,winter,calcareous,new_lands,cumin
84.7,29.61,44.66,28.5,75.79,7.9,5,summer,clayey_delta,north_delta,rice
35.03,17.14,28.15,21.45,48.28,7.77,10,winter,alluvial,middle_egypt,coriander
17.19,17.95,24.51,18.21,50.09,7.91,11,winter,loamy_clay,west_delta,lentil
104.76,23.94,22.32,24.04,56.81,7.78,6,summer,alluvial,north_delta,maize
35.7,22.99,38.77,21.35,46.57,7.92,12,winter,alluvial,middle_egypt,cumin
64.0,29.2,52.71,27.65,55.21,7.62,4,summer,loamy_clay,upper_egypt,pepper
38.97,8.52,57.78,29.02,32.13,8.08,3,permanent,reclaimed,aswan,date_palm
77.74,26.27,50.98,29.77,55.79,8.08,4,summer,loamy_clay,south_delta,cotton
86.47,26.43,86.77,24.96,61.21,7.56,12,permanent,sandy,east_delta,mango
23.25,14.12,44.11,26.11,45.12,7.81,8,permanent,reclaimed,sinai_north,olive
85.75,49.05,120.96,17.53,63.68,7.65,1,winter,loamy_clay,west_delta,potato
79.51,41.53,121.66,14.29,67.16,7.74,1,winter,sandy,east_delta,potato
77.67,20.02,98.69,28.53,54.9,7.89,9,summer,alluvial,east_delta,eggplant
79.12,27.51,56.2,29.53,55.67,7.66,8,summer,sandy,upper_egypt,pepper
98.76,33.08,121.73,25.72,53.5,7.92,3,summer,loamy_clay,upper_egypt,tomato_summer
92.03,28.82,67.28,18.55,69.6,7.88,12,permanent,alluvial,north_delta,mint
45.66,29.91,44.1,19.81,59.06,7.98,4,winter,loamy_clay,south_delta,sugar_beet
48.54,38.57,40.98,15.65,55.96,7.78,11,winter,loamy_clay,west_delta,sugar_beet
55.6,26.22,68.42,19.45,57.4,7.78,10,winter,loamy_clay,middle_egypt,cabbage
96.87,37.15,109.81,18.68,66.49,8.05,11,winter,clayey_delta,south_delta,tomato_winter
29.79,17.35,57.5,24.89,50.23,7.76,9,permanent,calcareous,north_coast,olive
35.98,15.48,82.05,30.37,54.13,7.73,8,summer,calcareous,west_delta,watermelon
26.92,30.82,51.53,19.89,66.11,7.77,11,winter,alluvial,north_delta,faba_bean
119.93,37.3,152.86,30.29,60.0,7.85,8,permanent,loamy_clay,middle_egypt,banana
30.86,12.64,44.52,28.34,31.77,7.8,1,permanent,sandy,new_lands,date_palm
54.85,14.66,65.92,16.19,61.27,8.03,2,winter,clayey_delta,north_delta,garlic
71.44,16.74,25.39,16.59,49.18,7.87,12,winter,loamy_clay,middle_egypt,wheat
24.6,31.55,31.76,16.41,67.63,7.9,3,winter,alluvial,north_delta,faba_bean
57.33,34.1,22.67,17.08,61.06,7.84,1,winter,loamy_clay,west_delta,sugar_beet
86.12,36.08,109.2,23.48,60.27,7.89,4,summer,alluvial,north_delta,tomato_summer
52.75,40.36,44.4,20.33,64.12,8.11,4,winter,clayey_delta,north_delta,sugar_beet
54.99,17.84,70.68,16.45,64.62,8.02,1,winter,alluvial,north_delta,garlic
85.21,35.58,93.13,17.35,72.55,7.73,2,winter,loamy_clay,west_delta,tomato_winter
39.36,16.79,82.29,31.74,45.59,7.73,5,summer,sandy,upper_egypt,watermelon
58.18,13.84,61.52,14.32,62.98,7.98,1,winter,alluvial,north_delta,garlic
78.15,25.52,76.4,28.74,54.19,8.11,5,summer,alluvial,south_delta,cotton
53.6,18.25,71.75,16.09,53.44,8.06,2,winter,alluvial,middle_egypt,garlic
110.68,31.12,161.01,31.58,65.12,7.64,7,permanent,alluvial,upper_egypt,banana
63.42,16.98,108.43,27.91,64.81,7.87,7,summer,alluvial,south_delta,cucumber
57.5,20.31,59.55,30.16,51.61,7.93,7,summer,loamy_clay,middle_egypt,basil
57.0,32.95,80.03,23.92,54.4,8.02,11,permanent,reclaimed,sinai_north,grapes
71.0,26.55,77.12,28.64,55.46,8.16,5,summer,alluvial,south_delta,cotton
52.19,19.21,67.2,18.62,60.37,8.02,3,winter,loamy_clay,south_delta,cabbage
86.1,35.39,59.02,16.08,69.23,8.09,2,permanent,clayey_delta,north_delta,mint
47.49,17.17,76.89,31.75,42.12,7.82,9,permanent,loamy_clay,upper_egypt,pomegranate
69.79,20.08,80.12,27.35,52.16,7.51,2,permanent,sandy,aswan,mango
29.67,21.24,28.3,21.8,41.89,7.73,10,winter,sandy,upper_egypt,cumin
75.77,44.59,131.74,15.14,67.98,7.81,1,winter,sandy,east_delta,potato
72.34,23.19,72.25,31.74,56.4,7.95,7,permanent,loamy_clay,middle_egypt,mango
51.43,15.83,70.86,18.76,52.13,7.97,10,winter,alluvial,middle_egypt,garlic
61.45,25.05,62.12,30.41,53.5,8.11,6,summer,alluvial,south_delta,cotton
49.95,16.28,23.35,17.83,49.68,7.88,4,winter,calcareous,sinai_north,barley
34.35,15.9,30.41,16.99,55.19,7.87,2,winter,calcareous,sinai_north,barley
46.25,35.07,41.5,18.65,57.26,8.11,4,winter,clayey_delta,north_delta,sugar_beet
75.53,24.95,80.35,30.76,43.73,7.59,8,permanent,sandy,new_lands,mango
76.26,28.47,95.75,20.44,55.74,7.87,12,permanent,reclaimed,west_delta,citrus
23.43,16.94,20.41,16.54,52.28,8.05,2,winter,calcareous,sinai_north,lentil
57.37,25.87,25.8,15.06,54.81,7.94,2,winter,loamy_clay,south_delta,wheat
39.1,17.07,85.8,31.56,37.9,7.62,5,summer,sandy,new_lands,watermelon
62.7,30.07,24.38,16.41,45.02,7.92,2,winter,alluvial,upper_egypt,wheat
48.41,17.37,70.28,16.49,56.17,7.99,2,winter,clayey_delta,south_delta,garlic
93.69,20.41,26.21,28.33,71.42,7.83,7,summer,clayey_delta,south_delta,rice
46.16,21.38,20.44,20.92,35.3,7.86,3,winter,alluvial,upper_egypt,cumin
35.35,24.36,17.75,14.91,68.73,8.06,2,winter,clayey_delta,north_delta,sugar_beet
48.11,39.7,33.87,14.02,64.64,7.81,3,winter,loamy_clay,west_delta,sugar_beet
65.43,16.53,102.12,22.65,65.85,7.69,3,summer,alluvial,north_delta,cucumber
42.86,21.52,75.13,31.31,50.78,7.62,6,permanent,sandy,upper_egypt,pomegranate
44.5,13.81,27.93,18.29,47.37,8.0,12,winter,calcareous,sinai_north,barley
27.68,23.88,25.15,20.0,52.58,7.66,2,winter,loamy_clay,middle_egypt,cumin
56.96,16.16,49.95,25.64,65.38,7.98,4,summer,loamy_clay,south_delta,basil
34.04,17.51,49.51,27.2,49.39,7.86,6,permanent,sandy,sinai_north,olive
28.96,13.82,54.99,31.36,31.81,7.9,2,permanent,sandy,upper_egypt,date_palm
82.32,40.22,96.57,21.02,69.98,8.2,10,winter,clayey_delta,north_delta,tomato_winter
53.21,27.54,65.78,16.12,61.38,7.71,11,winter,loamy_clay,middle_egypt,cabbage
24.65,32.37,28.62,15.4,50.98,7.84,11,winter,loamy_clay,middle_egypt,faba_bean
70.14,30.34,88.39,22.8,58.93,7.85,1,permanent,reclaimed,west_delta,grapes
67.4,24.76,59.62,29.28,53.64,7.58,8,summer,sandy,upper_egypt,pepper
53.05,28.77,85.35,23.04,43.49,7.98,2,permanent,calcareous,new_lands,grapes
46.27,14.79,59.86,27.45,47.88,7.92,6,permanent,reclaimed,west_delta,pomegranate
30.78,14.32,57.37,26.62,33.69,7.86,2,permanent,sandy,aswan,date_palm
59.18,20.57,69.37,19.9,64.14,8.11,4,winter,clayey_delta,north_delta,garlic
57.34,32.26,37.9,18.77,56.29,7.91,11,winter,calcareous,west_delta,sugar_beet
23.61,25.11,14.25,21.17,53.74,7.74,11,winter,loamy_clay,middle_egypt,berseem
41.52,23.28,67.7,29.58,51.08,7.97,6,permanent,reclaimed,middle_egypt,pomegranate
83.15,41.1,104.86,24.69,61.62,7.91,4,summer,alluvial,north_delta,tomato_summer
34.66,18.97,36.04,15.98,57.26,7.92,2,winter,loamy_clay,west_delta,coriander
37.22,20.53,33.2,21.1,50.69,7.99,10,winter,loamy_clay,middle_egypt,coriander
63.92,35.1,90.04,27.33,55.42,8.01,9,permanent,reclaimed,sinai_north,grapes
13.96,34.56,40.78,16.02,59.37,8.13,12,winter,clayey_delta,north_delta,faba_bean
113.33,35.52,131.94,28.0,60.03,7.72,4,permanent,alluvial,middle_egypt,banana
74.78,24.67,19.79,16.01,50.05,8.09,2,winter,alluvial,upper_egypt,wheat
102.27,33.33,163.08,21.19,60.0,7.66,1,permanent,alluvial,upper_egypt,banana
73.83,36.06,91.85,17.83,65.93,8.06,2,winter,clayey_delta,north_delta,tomato_winter
89.16,27.95,90.83,29.25,53.5,7.62,8,permanent,sandy,new_lands,citrus
28.05,15.37,21.67,13.79,53.83,7.88,1,winter,alluvial,south_delta,berseem
87.48,29.81,101.57,29.24,61.74,7.62,8,permanent,sandy,east_delta,citrus
56.8,16.98,98.11,27.16,70.41,7.69,9,summer,loamy_clay,west_delta,cucumber
24.04,21.38,11.28,15.6,56.11,7.83,3,winter,alluvial,south_delta,berseem
51.17,25.26,84.06,22.79,43.55,7.89,1,permanent,calcareous,new_lands,pomegranate
37.2,15.16,34.9,17.43,65.78,7.99,3,winter,loamy_clay,west_delta,coriander
82.37,37.69,103.24,31.0,53.64,7.86,5,summer,loamy_clay,upper_egypt,tomato_summer
80.05,28.84,64.25,22.35,62.33,8.07,3,permanent,clayey_delta,south_delta,mint
30.88,19.82,34.85,17.93,65.45,7.7,11,winter,alluvial,north_delta,coriander
33.52,16.04,34.26,14.87,54.87,7.72,1,winter,loamy_clay,west_delta,barley
68.0,18.96,15.94,16.1,52.36,8.09,3,winter,clayey_delta,south_delta,wheat
50.42,22.88,53.4,28.69,55.44,7.74,9,summer,alluvial,middle_egypt,basil
111.11,18.59,55.99,27.81,75.17,7.89,8,summer,alluvial,north_delta,rice
64.29,28.76,74.95,30.39,58.1,7.61,7,summer,sandy,upper_egypt,pepper
87.02,29.47,84.12,20.75,61.85,7.59,11,winter,sandy,east_delta,tomato_winter
65.26,17.87,71.3,27.48,64.78,7.6,7,permanent,sandy,east_delta,mango
67.88,24.65,61.13,27.17,53.27,8.06,4,summer,alluvial,middle_egypt,cotton
34.45,20.32,23.78,16.27,57.43,7.87,2,winter,alluvial,middle_egypt,coriander
34.32,22.67,24.62,19.82,47.15,7.76,12,winter,alluvial,middle_egypt,cumin
58.84,23.41,55.69,27.59,55.28,7.72,4,summer,alluvial,south_delta,basil
43.79,33.61,38.61,21.93,56.37,8.09,4,winter,calcareous,west_delta,sugar_beet
61.4,21.35,78.94,32.96,55.05,7.55,7,permanent,sandy,east_delta,mango
54.94,21.96,52.55,20.83,50.92,7.97,4,winter,clayey_delta,south_delta,onion
71.57,33.17,104.56,16.02,59.35,7.88,2,winter,loamy_clay,west_delta,tomato_winter
74.54,25.05,84.69,32.12,48.0,7.77,6,summer,alluvial,upper_egypt,eggplant
74.22,29.91,59.52,25.65,65.82,7.92,9,permanent,loamy_clay,south_delta,mint
41.24,18.37,38.77,17.39,54.91,7.71,12,winter,loamy_clay,south_delta,coriander
41.13,24.63,28.47,16.85,59.78,7.73,12,winter,alluvial,north_delta,coriander
42.89,18.42,91.57,32.76,47.34,7.58,6,summer,reclaimed,sinai_north,watermelon
46.68,24.46,44.04,19.6,58.06,7.73,10,winter,loamy_clay,south_delta,sugar_beet
53.55,19.4,66.27,21.01,64.87,7.74,10,winter,loamy_clay,south_delta,cabbage
34.84,18.92,34.2,17.45,60.03,7.66,1,winter,alluvial,north_delta,coriander
67.28,20.1,85.83,23.63,67.35,8.02,3,summer,clayey_delta,east_delta,cucumber
70.08,15.61,51.32,18.09,58.36,8.02,12,winter,alluvial,north_delta,onion
55.28,20.61,54.96,26.97,58.13,7.85,8,summer,alluvial,east_delta,basil
53.38,23.46,58.26,27.4,47.13,7.71,4,summer,loamy_clay,upper_egypt,basil
84.34,25.36,93.58,28.27,48.05,7.96,10,permanent,reclaimed,new_lands,citrus
86.07,43.17,128.26,17.55,63.69,7.67,12,winter,alluvial,south_delta,potato
59.01,24.05,64.95,20.27,53.31,7.72,10,winter,alluvial,middle_egypt,cabbage
55.13,19.53,65.24,18.28,57.65,8.04,3,winter,loamy_clay,middle_egypt,garlic
38.12,15.35,33.93,20.09,55.15,7.92,11,winter,calcareous,sinai_north,barley
100.35,34.01,160.7,26.3,69.15,7.69,2,permanent,alluvial,middle_egypt,banana
99.51,29.78,30.27,30.62,45.0,7.77,7,summer,loamy_clay,upper_egypt,maize
50.06,15.91,72.4,19.25,50.32,8.03,4,winter,alluvial,middle_egypt,garlic
58.53,31.26,90.48,27.72,42.88,7.58,11,permanent,sandy,new_lands,grapes
85.61,22.18,93.21,25.53,55.84,7.61,5,permanent,sandy,east_delta,citrus
29.15,29.21,26.58,18.01,54.89,8.06,4,winter,loamy_clay,south_delta,faba_bean
40.77,12.08,42.9,16.73,54.35,7.56,3,winter,sandy,north_coast,barley
15.7,21.04,10.07,21.1,42.26,7.87,3,winter,reclaimed,new_lands,lentil
77.24,25.76,69.85,27.69,59.39,8.17,6,summer,clayey_delta,south_delta,cotton
81.25,44.5,130.78,18.86,70.7,7.6,12,winter,loamy_clay,west_delta,potato
89.48,41.87,121.85,15.61,72.35,7.71,2,winter,alluvial,north_delta,potato
63.57,20.16,85.2,24.64,65.69,8.11,4,summer,clayey_delta,north_delta,cucumber
40.74,17.11,34.89,19.25,57.34,7.65,11,winter,alluvial,north_delta,coriander
32.76,11.15,65.43,34.99,27.22,7.9,10,permanent,sandy,new_lands,date_palm
21.64,17.43,9.59,16.95,66.72,8.23,11,winter,clayey_delta,north_delta,berseem
80.17,35.45,105.96,20.14,61.12,8.19,1,winter,clayey_delta,south_delta,tomato_winter
89.98,31.83,49.4,30.44,45.2,8.05,9,summer,alluvial,middle_egypt,maize
63.92,19.22,83.46,23.4,66.12,7.88,3,summer,alluvial,east_delta,cucumber
42.74,18.09,37.28,17.19,51.85,7.78,1,winter,loamy_clay,west_delta,coriander
50.85,22.98,62.8,19.16,60.51,8.18,11,winter,clayey_delta,south_delta,cabbage
96.37,37.46,99.53,28.54,51.61,7.94,5,summer,loamy_clay,middle_egypt,tomato_summer
58.44,21.61,88.97,28.47,67.97,7.73,8,summer,loamy_clay,west_delta,cucumber
